ISO 8859-1,,,,UTF-8,,,,,,,,,,,,,,,,,,
"Character
Number",Character,Hex,,"Unicode
code point",Character,"UTF-8
(hex)",Character Name,Block,,,,,,,,,,,,,,
170,ª,00AA,,U+00AA,ª,c2 aa,FEMININE ORDINAL INDICATOR,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
171,«,00AB,,U+00AB,«,c2 ab,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
172,¬,00AC,,U+00AC,¬,c2 ac,NOT SIGN,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
173,SHY,00AD,,U+00AD,,c2 ad,SOFT HYPHEN,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
174,®,00AE,,U+00AE,®,c2 ae,REGISTERED SIGN,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
175,¯,00AF,,U+00AF,¯,c2 af,MACRON,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
176,°,00B0,,U+00B0,°,c2 b0,DEGREE SIGN,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
177,±,00B1,,U+00B1,±,c2 b1,PLUS-MINUS SIGN,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
178,²,00B2,,U+00B2,²,c2 b2,SUPERSCRIPT TWO,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
179,³,00B3,,U+00B3,³,c2 b3,SUPERSCRIPT THREE,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
181,µ,00B5,,U+00B5,µ,c2 b5,MICRO SIGN,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
182,¶,00B6,,U+00B6,¶,c2 b6,PILCROW SIGN,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
183,·,00B7,,U+00B7,·,c2 b7,MIDDLE DOT,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
184,¸,00B8,,U+00B8,¸,c2 b8,CEDILLA,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
185,¹,00B9,,U+00B9,¹,c2 b9,SUPERSCRIPT ONE,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
